numero;aldeia;genero;idade;EP_2019;lista_livre;roteiro_plantas;turne_guiada;obs_partivipante;TCP_individual;TCP_coletivo
56;1;M;77;sim;1;0;0;0;0;1
1;1;F;NA;não;1;1;0;0;0;1
62;2;M;28;sim;1;0;0;0;1;1
44;3;M;59;sim;1;1;0;0;0;0
43;3;M;46;sim;1;1;0;0;1;1
70;3;M;35;sim;1;0;0;0;1;1
3;4;M;48;não;1;1;0;0;1;1
60;4;M;40;sim;1;0;1;0;1;1
2;4;F;24;não;1;1;0;0;0;1
73;4;M;19;sim;1;0;0;0;1;1
66;5;M;44;sim;1;0;0;0;1;1
75;5;M;32;sim;1;0;0;0;0;1
74;5;M;21;sim;1;0;0;0;0;1
72;6;M;30;sim;1;0;1;0;1;1
26;7;F;36;não;1;1;1;0;1;1
27;7;F;NA;não;1;1;0;0;0;0
32;8;M;69;sim;1;1;1;0;0;1
61;8;M;29;sim;1;0;0;0;1;1
79;8;M;NA;sim;1;1;1;0;1;1
30;8;M;13;sim;1;1;0;0;1;1
55;8;M;36;sim;1;0;0;0;1;1
53;8;M;38;sim;1;0;1;0;1;1
31;8;M;32;sim;1;1;1;0;1;1
34;8;M;42;sim;1;1;0;0;1;1
78;8;M;87;sim;1;0;0;0;1;1
4;8;F;33;não;1;1;0;0;1;1
42;8;F;30;sim;1;1;0;0;0;1
45;8;F;44;sim;1;1;0;0;1;1
80;8;F;NA;não;1;0;0;0;1;1
33;9;M;43;sim;0;0;0;0;1;0
68;9;M;44;sim;1;0;0;0;1;1
64;10;M;40;sim;1;0;1;0;1;1
49;11;M;21;sim;0;0;0;0;1;1
35;11;M;22;sim;1;1;0;0;1;1
63;11;M;57;sim;1;0;0;0;1;1
54;12;M;26;sim;1;0;1;0;1;1
52;12;M;18;sim;1;0;0;0;1;1
47;12;F;32;sim;1;1;1;0;1;1
65;12;M;46;sim;1;0;1;0;1;1
6;13;M;47;não;1;1;1;0;1;1
57;13;M;55;sim;1;0;1;0;1;1
39;13;M;40;sim;1;1;1;0;1;1
5;13;F;28;não;1;1;0;0;0;1
7;14;F;43;não;1;1;0;0;0;0
10;15;M;21;não;1;1;0;1;1;0
12;15;M;47;não;1;1;1;1;1;1
8;15;F;24;não;1;1;0;0;0;1
11;15;M;45;não;1;1;1;1;1;1
9;15;M;57;não;1;1;1;1;1;1
58;16;M;56;sim;1;0;0;0;1;1
76;17;M;57;sim;1;0;1;0;1;1
77;17;F;62;sim;1;0;0;0;1;1
36;18;M;NA;sim;1;1;0;0;1;1
29;18;M;43;não;1;1;0;0;1;1
46;18;F;NA;sim;1;1;0;0;0;1
13;18;M;24;não;1;1;1;1;1;1
41;18;M;34;sim;0;0;0;0;0;1
48;18;F;29;sim;1;1;0;0;0;1
69;19;M;NA;não;0;0;0;0;0;0
38;20;M;21;sim;1;1;0;0;0;1
50;20;M;45;sim;1;0;1;0;1;1
59;20;M;37;sim;1;0;0;0;1;1
40;20;F;NA;sim;1;1;0;0;1;1
22;21;M;24;não;1;1;1;1;1;1
20;21;M;30;não;1;1;0;0;1;1
16;21;F;23;não;1;1;1;0;1;1
21;21;M;28;não;1;1;1;1;1;1
17;21;M;25;não;1;1;1;0;1;1
23;21;M;22;não;1;1;1;0;1;1
14;21;F;20;não;1;1;0;1;1;0
15;21;F;65;não;1;1;1;0;1;1
18;21;M;20;não;1;1;0;0;1;1
24;21;M;51;não;1;1;1;1;1;1
19;21;M;36;não;1;1;0;0;1;1
69;22;M;39;sim;1;0;0;0;1;1
37;22;M;22;sim;1;1;0;0;0;1
67;22;M;67;sim;1;0;0;0;1;1
71;23;M;57;sim;1;0;0;0;1;1
51;23;M;35;sim;1;0;0;0;1;1
25;23;M;24;não;1;1;1;0;1;0
